,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,lon,lat
0,Argentina,1970,ARG,23842804.0,278897360896.0,2.344,0.098,82.648,5.399,6.989,199.603,-50.807,-20.289,8.372,0.716,0.565,3.466,0.296,0.234,3.287,0.138,,,,37.761,1599.024,9757.542,374.584,13.66,108.778,8743.33,1064.241,,14825.144,1.267,2.81,0.118,10.281,0.431,,,116.955,4.905,,,,,63.926,2.681,,,353.473,0.813,0.555,1.024,0.058,0.887,0.377,1.065,0.127,0.535,0.455,1.761,1.08,,1.012,0.574,2.543,0.94,,1.67,0.004,0.006,0.01,0.0,,,,,-63.616672,-38.416097
1,Argentina,1971,ARG,24223380.0,292438867968.0,2.736,0.113,88.847,6.199,7.501,176.82,-22.783,-11.414,7.3,0.605,0.472,3.668,0.304,0.237,2.928,0.121,,,,40.497,1687.871,9934.362,377.511,16.503,119.8,8831.303,1133.56,,15469.695,1.281,2.843,0.117,11.021,0.455,,,87.973,3.632,,,,,69.319,2.862,,,374.728,0.902,0.573,0.88,0.051,0.888,0.384,1.061,0.126,0.574,0.464,1.762,1.072,,0.885,0.57,1.918,0.962,,1.654,0.004,0.006,0.011,0.0,,,,,-63.616672,-38.416097
2,Argentina,1972,ARG,24612798.0,301570162688.0,2.699,0.11,90.067,1.22,1.373,161.038,-15.781,-8.925,6.543,0.534,0.424,3.659,0.299,0.237,2.858,0.116,,,,43.195,1777.938,10095.401,380.369,19.247,132.268,8902.274,1202.857,,15416.149,1.258,2.744,0.112,12.469,0.507,,,70.972,2.884,,,,,69.297,2.815,,,379.435,0.839,0.555,0.774,0.05,0.884,0.39,1.055,0.124,0.598,0.475,1.761,1.059,,0.791,0.608,1.546,0.892,,1.639,0.004,0.006,0.011,0.0,,,,,-63.616672,-38.416097
3,Argentina,1973,ARG,25020592.0,319937937408.0,2.57,0.103,93.976,3.909,4.34,153.15,-7.889,-4.899,6.121,0.479,0.386,3.756,0.294,0.237,2.88,0.115,,,,45.766,1871.914,10248.551,383.249,22.376,146.455,8961.448,1274.067,,15846.863,1.239,3.129,0.125,14.187,0.567,,,59.174,2.365,,,,,71.21,2.846,,,396.498,0.755,0.55,0.711,0.049,0.876,0.395,1.047,0.123,0.618,0.487,1.757,1.046,,0.778,0.644,1.33,0.866,,1.623,0.004,0.006,0.011,0.0,,,,,-63.616672,-38.416097
4,Argentina,1974,ARG,25449752.0,340686405632.0,2.675,0.105,95.481,1.505,1.601,147.436,-5.714,-3.731,5.793,0.433,0.358,3.752,0.28,0.232,3.367,0.132,,,,48.441,1967.394,10395.987,386.616,25.439,161.379,9013.403,1345.519,,16198.629,1.21,3.063,0.12,14.923,0.586,,,51.956,2.041,,,,,71.452,2.808,,,412.251,0.784,0.561,0.691,0.057,0.87,0.401,1.039,0.122,0.634,0.499,1.752,1.036,,0.783,0.661,1.202,0.881,,1.608,0.004,0.006,0.011,0.0,,,,,-63.616672,-38.416097
5,Argentina,1975,ARG,25875562.0,337656020992.0,2.715,0.105,94.846,-0.635,-0.665,140.463,-6.974,-4.73,5.428,0.416,0.349,3.665,0.281,0.235,3.594,0.139,,,,51.155,2062.24,10536.449,390.211,29.342,177.101,9059.02,1414.431,,15575.027,1.194,3.902,0.151,15.722,0.608,,,45.617,1.763,,,,,68.913,2.663,,,403.013,0.8,0.556,0.656,0.06,0.866,0.406,1.031,0.121,0.674,0.512,1.746,1.026,,1.159,0.697,1.044,0.857,,1.594,0.004,0.006,0.011,0.0,,,,,-63.616672,-38.416097
6,Argentina,1976,ARG,26290258.0,336841146368.0,2.842,0.108,99.7,4.854,5.118,140.15,-0.312,-0.222,5.331,0.416,0.332,3.792,0.296,0.236,3.239,0.123,,,,53.997,2161.939,10676.599,393.45,34.625,193.568,9099.471,1486.3,,16077.203,1.255,5.284,0.201,16.467,0.626,,,40.451,1.539,,,,,71.868,2.734,,,422.674,0.802,0.554,0.629,0.052,0.863,0.412,1.023,0.119,0.73,0.523,1.739,1.015,,1.336,0.69,0.94,0.841,,1.58,0.005,0.006,0.011,0.0,,,,,-63.616672,-38.416097
7,Argentina,1977,ARG,26713780.0,357157961728.0,2.987,0.112,100.706,1.007,1.01,137.933,-2.218,-1.582,5.163,0.386,0.312,3.77,0.282,0.228,2.704,0.101,,,,56.984,2262.646,10814.531,396.154,40.033,210.473,9136.697,1559.002,,16524.49,1.236,5.408,0.202,16.905,0.633,,,37.226,1.394,,,,,72.702,2.722,,,441.432,0.806,0.544,0.602,0.042,0.86,0.416,1.014,0.118,0.781,0.534,1.732,1.004,,1.418,0.693,0.845,0.822,,1.566,0.005,0.006,0.012,0.001,,,,,-63.616672,-38.416097
8,Argentina,1978,ARG,27146124.0,341466742784.0,3.148,0.116,102.556,1.85,1.837,135.789,-2.144,-1.554,5.002,0.398,0.307,3.778,0.3,0.232,3.833,0.141,,,,60.133,2365.202,10950.32,399.986,46.284,226.898,9169.929,1631.901,,16285.452,1.295,6.251,0.23,16.426,0.605,,,33.232,1.224,,,,,72.899,2.685,,,442.087,0.798,0.538,0.583,0.059,0.856,0.42,1.004,0.117,0.839,0.541,1.725,0.992,,1.602,0.644,0.787,0.796,,1.552,0.005,0.007,0.012,0.001,,,,,-63.616672,-38.416097
9,Argentina,1979,ARG,27584138.0,365906460672.0,3.328,0.121,110.617,8.061,7.86,141.065,5.276,3.885,5.114,0.386,0.297,4.01,0.302,0.233,3.602,0.131,,,,63.46,2475.819,11091.386,403.588,52.883,244.914,9200.377,1710.973,,17209.025,1.297,6.599,0.239,18.016,0.653,,,30.448,1.104,,,,,79.073,2.867,,,474.696,0.832,0.564,0.596,0.053,0.855,0.425,0.996,0.115,0.9,0.548,1.717,0.985,,1.832,0.67,0.75,0.852,,1.537,0.005,0.007,0.012,0.001,,,,,-63.616672,-38.416097
10,Argentina,1980,ARG,28024808.0,371076956160.0,3.562,0.127,108.657,-1.96,-1.772,137.566,-3.499,-2.48,4.909,0.371,0.291,3.877,0.293,0.23,2.865,0.102,,,,67.023,2584.476,11228.95,406.453,59.038,264.48,9229.286,1787.481,,16841.475,1.272,6.156,0.22,19.566,0.698,,,28.909,1.032,,,,,76.508,2.73,,,471.979,0.885,0.557,0.583,0.041,0.856,0.429,0.987,0.114,0.953,0.558,1.709,0.978,,1.945,0.709,0.708,0.855,,1.524,0.005,0.007,0.012,0.001,,,,,-63.616672,-38.416097
11,Argentina,1981,ARG,28471284.0,349782016000.0,3.323,0.117,101.969,-6.688,-6.155,199.835,62.269,45.265,7.019,0.571,0.436,3.581,0.292,0.223,2.957,0.104,,,,70.346,2686.445,11428.786,409.41,64.183,284.966,9327.152,1857.541,,16086.512,1.309,5.144,0.181,20.485,0.72,,,97.865,3.437,,,,,70.059,2.461,,,458.004,0.825,0.536,0.853,0.042,0.855,0.433,0.985,0.113,0.998,0.568,1.714,0.971,,2.169,0.733,2.228,0.819,,1.511,0.005,0.007,0.012,0.001,,,,,-63.616672,-38.416097
12,Argentina,1982,ARG,28922768.0,338761515008.0,2.815,0.097,103.352,1.383,1.356,164.174,-35.661,-17.845,5.676,0.485,0.352,3.573,0.305,0.222,2.66,0.092,,,,73.162,2789.797,11592.96,412.07,69.778,308.214,9387.974,1926.573,,16129.604,1.377,5.595,0.193,23.249,0.804,,,60.822,2.103,,,,,69.032,2.387,,,466.513,0.702,0.547,0.705,0.037,0.848,0.436,0.979,0.111,1.047,0.582,1.711,0.965,,2.375,0.851,1.38,0.827,,1.498,0.005,0.007,0.012,0.001,,,,,-63.616672,-38.416097
13,Argentina,1983,ARG,29377144.0,350706597888.0,2.818,0.096,105.143,1.791,1.733,151.859,-12.315,-7.501,5.169,0.433,0.312,3.579,0.3,0.216,2.191,0.075,,,,75.98,2894.94,11744.819,414.261,74.973,334.478,9434.69,1995.247,,16550.449,1.386,5.196,0.177,26.264,0.894,,,46.716,1.59,,,,,68.674,2.338,,,486.205,0.688,0.553,0.638,0.03,0.84,0.439,0.972,0.11,1.09,0.6,1.705,0.96,,2.441,0.951,0.972,0.831,,1.486,0.005,0.007,0.012,0.001,,,,,-63.616672,-38.416097
14,Argentina,1984,ARG,29832200.0,357844353024.0,2.619,0.088,106.453,1.31,1.246,144.668,-7.191,-4.735,4.849,0.404,0.297,3.568,0.297,0.218,2.147,0.072,,,,78.598,3001.392,11889.487,416.409,82.122,361.779,9472.905,2062.484,,16341.107,1.362,7.149,0.24,27.301,0.915,,,38.216,1.281,,,,,67.237,2.254,,,487.491,0.627,0.541,0.579,0.028,0.831,0.442,0.964,0.108,1.162,0.616,1.695,0.954,,3.828,0.907,0.72,0.807,,1.474,0.005,0.007,0.013,0.001,,,,,-63.616672,-38.416097
15,Argentina,1985,ARG,30287120.0,334171439104.0,2.326,0.077,100.532,-5.921,-5.562,132.812,-11.856,-8.195,4.385,0.397,0.276,3.319,0.301,0.209,2.774,0.092,,,,80.924,3101.924,12022.299,419.182,88.31,390.588,9505.186,2122.919,,15902.217,1.441,6.188,0.204,28.809,0.951,,,32.28,1.066,,,,,60.435,1.995,,,481.632,0.55,0.495,0.523,0.034,0.819,0.444,0.955,0.106,1.218,0.632,1.686,0.946,,3.411,0.923,0.635,0.726,,1.459,0.005,0.007,0.013,0.001,,,,,-63.616672,-38.416097
16,Argentina,1986,ARG,30748332.0,358634684416.0,2.79,0.091,104.151,3.619,3.6,128.004,-4.808,-3.62,4.163,0.357,0.252,3.387,0.29,0.205,3.393,0.11,,,,83.714,3206.075,12150.303,422.575,93.114,421.553,9529.038,2185.12,,16549.121,1.419,4.804,0.156,30.964,1.007,,,23.853,0.776,,,,,62.2,2.023,,,508.858,0.634,0.505,0.497,0.041,0.811,0.446,0.946,0.105,1.255,0.65,1.675,0.937,,2.831,1.017,0.466,0.725,,1.445,0.005,0.007,0.013,0.001,,,,,-63.616672,-38.416097
17,Argentina,1987,ARG,31216450.0,367893610496.0,3.17,0.102,114.878,10.727,10.3,127.556,-0.448,-0.35,4.086,0.347,0.24,3.68,0.312,0.216,3.778,0.121,,,,86.885,3320.954,12277.858,426.353,97.892,458.251,9541.716,2251.573,,17036.225,1.446,4.778,0.153,36.699,1.176,,,12.677,0.406,,,,,66.454,2.129,,,531.81,0.69,0.54,0.483,0.044,0.806,0.448,0.937,0.104,1.291,0.672,1.662,0.931,,2.931,1.11,0.248,0.768,,1.429,0.005,0.007,0.013,0.001,,,,,-63.616672,-38.416097
18,Argentina,1988,ARG,31690790.0,360921169920.0,3.048,0.096,121.406,6.528,5.682,140.752,13.196,10.345,4.441,0.39,0.26,3.831,0.336,0.225,4.023,0.127,,,,89.932,3442.36,12418.61,430.376,103.762,500.484,9561.062,2317.806,,17062.09,1.498,5.87,0.185,42.233,1.333,,,19.346,0.61,,,,,66.232,2.09,,,540.711,0.63,0.549,0.518,0.045,0.798,0.451,0.928,0.102,1.336,0.698,1.651,0.924,,3.164,1.218,0.382,0.738,,1.415,0.005,0.007,0.013,0.001,,,,,-63.616672,-38.416097
19,Argentina,1989,ARG,32165770.0,338520801280.0,2.254,0.07,117.021,-4.385,-3.612,140.398,-0.354,-0.252,4.365,0.415,0.269,3.638,0.346,0.224,4.144,0.129,,,,92.186,3559.381,12559.008,434.52,110.023,545.093,9584.438,2377.559,,16210.218,1.54,6.262,0.195,44.609,1.387,,,23.376,0.727,,,,,59.753,1.858,,,521.414,0.457,0.522,0.515,0.047,0.784,0.453,0.92,0.101,1.39,0.724,1.641,0.915,,4.156,1.226,0.48,0.654,,1.402,0.005,0.007,0.013,0.001,,,,,-63.616672,-38.416097
20,Argentina,1990,ARG,32637658.0,338751160320.0,1.822,0.056,112.079,-4.942,-4.223,138.277,-2.121,-1.511,4.237,0.408,0.27,3.434,0.331,0.218,3.07,0.094,112.045,3.433,0.331,94.008,3671.46,12697.284,437.59,114.808,588.306,9610.635,2436.747,,15718.294,1.514,4.785,0.147,43.213,1.324,7.577,8.967,26.198,0.803,110.25,3.378,35.93,1.101,59.188,1.813,,,513.008,0.369,0.492,0.5,0.035,0.767,0.454,0.912,0.1,1.403,0.743,1.632,0.906,,1.786,1.127,0.537,0.64,,1.39,0.005,0.007,0.013,0.001,292.65,247.3,-0.035,-0.031,-63.616672,-38.416097
21,Argentina,1991,ARG,33105766.0,376057921536.0,2.196,0.066,117.506,5.427,4.842,188.587,50.311,36.384,5.697,0.501,0.362,3.549,0.312,0.225,2.689,0.081,120.502,3.64,0.32,96.204,3788.966,12885.872,440.28,118.912,635.59,9681.717,2497.98,,15747.119,1.386,4.104,0.124,47.284,1.428,7.604,8.973,71.082,2.147,109.37,3.304,35.81,1.082,61.233,1.85,,,521.32,0.432,0.506,0.673,0.031,0.754,0.456,0.907,0.099,1.404,0.765,1.631,0.896,,1.45,1.209,1.494,0.63,,1.379,0.005,0.007,0.013,0.001,297.07,251.72,2.996,2.55,-63.616672,-38.416097
22,Argentina,1992,ARG,33568280.0,416679788544.0,2.495,0.074,121.231,3.725,3.17,165.455,-23.132,-12.266,4.929,0.397,0.296,3.611,0.291,0.217,2.803,0.084,127.743,3.805,0.307,98.699,3910.197,13051.327,443.083,122.91,683.893,9725.941,2561.612,,16661.443,1.342,3.997,0.119,48.303,1.439,7.633,8.984,44.224,1.317,111.32,3.316,36.54,1.089,63.633,1.896,,,559.296,0.472,0.537,0.602,0.033,0.743,0.458,0.901,0.097,1.41,0.786,1.625,0.889,,1.596,1.22,0.904,0.69,,1.369,0.005,0.007,0.014,0.001,301.59,256.24,6.513,5.372,-63.616672,-38.416097
23,Argentina,1993,ARG,34027240.0,444780216320.0,2.761,0.081,117.777,-3.453,-2.848,151.853,-13.602,-8.221,4.463,0.341,0.263,3.461,0.265,0.204,2.301,0.068,123.145,3.619,0.277,101.46,4027.974,13203.18,445.384,127.662,724.701,9760.017,2628.767,,16980.979,1.299,4.753,0.14,40.809,1.199,7.547,8.88,34.075,1.001,110.2,3.239,36.07,1.06,67.154,1.974,,,577.816,0.501,0.516,0.548,0.027,0.733,0.459,0.895,0.096,1.424,0.796,1.617,0.884,,1.947,1.003,0.699,0.727,,1.359,0.005,0.007,0.014,0.001,302.16,256.82,5.368,4.557,-63.616672,-38.416097
24,Argentina,1994,ARG,34488696.0,472926748672.0,3.05,0.088,122.229,4.452,3.78,155.974,4.122,2.714,4.522,0.33,0.256,3.544,0.258,0.201,3.561,0.103,126.951,3.681,0.268,104.51,4150.203,13359.154,448.945,133.4,767.378,9793.763,2695.97,,17650.646,1.287,5.738,0.166,42.677,1.237,7.545,8.859,33.745,0.978,111.15,3.223,37.03,1.074,67.203,1.949,,,608.748,0.518,0.532,0.552,0.042,0.724,0.461,0.888,0.095,1.448,0.806,1.609,0.879,,2.313,1.04,0.637,0.725,,1.349,0.005,0.008,0.014,0.001,305.55,260.2,4.722,3.863,-63.616672,-38.416097
25,Argentina,1995,ARG,34946116.0,461601013760.0,2.621,0.075,127.765,5.536,4.529,162.463,6.489,4.16,4.649,0.352,0.259,3.656,0.277,0.203,3.701,0.106,129.745,3.713,0.281,107.131,4277.968,13521.617,452.646,138.812,820.574,9828.461,2758.805,,17976.906,1.361,5.412,0.155,53.195,1.522,7.52,8.818,34.698,0.993,112.63,3.223,37.07,1.061,62.836,1.798,,,628.223,0.421,0.545,0.565,0.042,0.712,0.463,0.882,0.094,1.468,0.826,1.601,0.873,,2.21,1.264,0.656,0.671,,1.339,0.006,0.008,0.014,0.001,308.14,262.79,1.98,1.55,-63.616672,-38.416097
26,Argentina,1996,ARG,35389360.0,489406464000.0,2.422,0.068,134.762,6.997,5.477,171.732,9.269,5.705,4.853,0.351,0.261,3.808,0.275,0.205,3.1,0.088,136.557,3.859,0.279,109.553,4412.73,13693.349,455.745,144.59,878.115,9865.43,2824.726,,18567.777,1.343,5.778,0.163,57.542,1.626,7.686,9.022,36.97,1.045,112.87,3.189,37.89,1.071,65.921,1.863,,,657.102,0.381,0.558,0.583,0.034,0.698,0.466,0.877,0.093,1.49,0.846,1.593,0.868,,2.338,1.309,0.7,0.684,,1.329,0.006,0.008,0.014,0.001,319.3,271.99,1.795,1.332,-63.616672,-38.416097
27,Argentina,1997,ARG,35815968.0,531526418432.0,3.169,0.088,137.641,2.879,2.137,178.678,6.946,4.045,4.989,0.336,0.269,3.843,0.259,0.207,2.777,0.078,143.493,4.006,0.27,112.722,4550.371,13872.027,458.523,147.913,939.619,9906.467,2891.594,,18559.928,1.251,3.323,0.093,61.504,1.717,7.728,9.066,41.037,1.146,113.77,3.177,38.37,1.071,66.868,1.867,,,664.742,0.479,0.566,0.569,0.031,0.69,0.468,0.871,0.092,1.486,0.869,1.581,0.862,,1.325,1.394,0.578,0.683,,1.317,0.006,0.008,0.014,0.001,324.7,276.77,5.851,4.251,-63.616672,-38.416097
28,Argentina,1998,ARG,36233196.0,554567008256.0,3.283,0.091,139.452,1.81,1.315,187.524,8.845,4.95,5.175,0.338,0.272,3.849,0.251,0.203,2.84,0.078,146.743,4.05,0.265,116.005,4689.823,14059.551,461.362,150.053,1001.233,9954.538,2961.17,,18999.477,1.241,2.14,0.059,61.614,1.7,7.793,9.109,48.072,1.327,112.56,3.107,37.96,1.048,69.576,1.92,,,688.412,0.498,0.576,0.631,0.033,0.682,0.471,0.866,0.091,1.472,0.889,1.575,0.858,,0.891,1.374,0.876,0.704,,1.308,0.006,0.008,0.014,0.001,330.05,282.38,7.291,5.228,-63.616672,-38.416097
29,Argentina,1999,ARG,36653032.0,538270564352.0,3.29,0.09,147.285,7.833,5.617,192.169,4.646,2.477,5.243,0.357,0.276,4.018,0.274,0.212,2.154,0.059,148.986,4.065,0.277,119.295,4837.109,14251.72,463.517,151.548,1068.854,9999.423,3033.895,,18986.668,1.293,1.495,0.041,67.621,1.845,7.877,9.216,44.884,1.225,117.5,3.206,38.5,1.05,72.725,1.984,,,695.919,0.476,0.596,0.636,0.024,0.674,0.474,0.862,0.09,1.454,0.911,1.569,0.854,,0.642,1.463,0.818,0.719,,1.3,0.006,0.008,0.015,0.001,337.78,288.71,1.701,1.155,-63.616672,-38.416097
30,Argentina,2000,ARG,37070772.0,536481038336.0,2.771,0.075,142.358,-4.927,-3.345,186.29,-5.879,-3.059,5.025,0.347,0.267,3.84,0.265,0.204,1.656,0.045,141.089,3.806,0.263,122.066,4979.467,14438.01,465.173,152.606,1138.292,10043.354,3101.329,,18848.729,1.302,1.059,0.029,69.438,1.873,7.845,9.101,43.931,1.185,117.51,3.17,39.91,1.077,67.434,1.819,,,698.737,0.384,0.559,0.609,0.018,0.663,0.476,0.857,0.089,1.426,0.933,1.563,0.848,,0.38,1.468,0.859,0.655,,1.292,0.006,0.008,0.015,0.001,337.38,290.82,-1.269,-0.892,-63.616672,-38.416097
31,Argentina,2001,ARG,37480492.0,515221291008.0,2.481,0.066,134.004,-8.354,-5.869,176.323,-9.967,-5.35,4.704,0.342,0.258,3.575,0.26,0.196,1.29,0.034,129.714,3.461,0.252,124.547,5113.471,14614.332,466.463,153.695,1203.101,10085.673,3165.665,,18208.693,1.325,1.088,0.029,64.809,1.729,7.581,10.119,42.319,1.129,116.24,3.101,39.25,1.047,64.336,1.717,,,682.471,0.329,0.522,0.58,0.014,0.65,0.477,0.852,0.087,1.399,0.949,1.558,0.842,,0.387,1.358,0.893,0.619,,1.285,0.006,0.008,0.015,0.001,379.26,284.14,-4.29,-3.201,-63.616672,-38.416097
32,Argentina,2002,ARG,37885024.0,461203406848.0,1.729,0.046,124.392,-9.612,-7.173,223.357,47.034,26.675,5.896,0.484,0.341,3.283,0.27,0.19,1.099,0.029,82.176,2.169,0.178,126.276,5237.863,14837.689,467.562,155.142,1265.721,10184.638,3223.162,,17273.844,1.419,1.447,0.038,62.62,1.653,7.403,9.915,98.965,2.612,119.5,3.154,39.8,1.051,57.497,1.518,,,654.42,0.217,0.473,0.71,0.011,0.632,0.477,0.85,0.086,1.375,0.961,1.561,0.834,,0.485,1.276,1.912,0.554,,1.279,0.006,0.008,0.015,0.001,375.63,280.48,-42.217,-33.938,-63.616672,-38.416097
33,Argentina,2003,ARG,38278164.0,504301027328.0,2.28,0.06,134.631,10.239,8.231,356.889,133.532,59.784,9.324,0.708,0.509,3.517,0.267,0.192,1.99,0.052,112.729,2.945,0.224,128.556,5372.494,15194.579,469.551,157.077,1334.791,10406.896,3282.519,,18324.426,1.391,1.935,0.051,69.07,1.804,7.905,10.394,222.258,5.806,127.2,3.323,43.79,1.144,59.357,1.551,,,701.425,0.268,0.487,1.072,0.019,0.617,0.477,0.854,0.085,1.356,0.976,1.581,0.827,,0.646,1.359,3.932,0.556,,1.275,0.006,0.008,0.015,0.001,397.87,302.57,-21.902,-16.268,-63.616672,-38.416097
34,Argentina,2004,ARG,38668796.0,552377778176.0,2.701,0.07,157.043,22.412,16.647,448.405,91.515,25.643,11.596,0.812,0.602,4.061,0.284,0.211,2.198,0.057,133.273,3.447,0.241,131.257,5529.538,15642.983,471.75,158.498,1417.701,10698.258,3350.331,,19261.457,1.348,1.422,0.037,82.911,2.144,8.242,10.71,291.361,7.535,129.11,3.339,44.1,1.14,67.812,1.754,,,744.817,0.297,0.548,1.319,0.02,0.604,0.479,0.863,0.083,1.331,0.998,1.613,0.821,,0.439,1.577,5.434,0.614,,1.274,0.006,0.009,0.015,0.001,414.15,318.7,-23.77,-15.136,-63.616672,-38.416097
35,Argentina,2005,ARG,39070504.0,604065431552.0,3.241,0.083,161.434,4.391,2.796,485.259,36.854,8.219,12.42,0.803,0.614,4.132,0.267,0.204,3.268,0.084,140.506,3.596,0.233,134.498,5690.972,16128.241,475.018,159.656,1499.669,11022.081,3422.13,,20235.24,1.309,1.158,0.03,81.967,2.098,8.26,10.701,323.824,8.288,128.52,3.289,43.67,1.118,71.8,1.838,,,790.601,0.336,0.545,1.413,0.028,0.593,0.481,0.873,0.082,1.303,1.017,1.65,0.816,,0.336,1.523,6.866,0.645,,1.273,0.006,0.009,0.016,0.001,418.09,322.74,-20.928,-12.964,-63.616672,-38.416097
36,Argentina,2006,ARG,39476856.0,655699017728.0,3.764,0.095,174.609,13.175,8.161,504.039,18.781,3.87,12.768,0.769,0.607,4.423,0.266,0.21,3.866,0.098,151.026,3.826,0.23,138.262,5865.581,16632.281,478.884,160.854,1583.538,11351.512,3504.043,,21039.4,1.267,1.198,0.03,83.869,2.125,8.543,10.957,329.43,8.345,130.77,3.313,45.0,1.14,81.912,2.075,,,830.569,0.358,0.571,1.413,0.032,0.582,0.483,0.883,0.081,1.277,1.035,1.686,0.814,,0.345,1.523,6.493,0.728,,1.272,0.006,0.009,0.016,0.001,432.56,337.25,-23.583,-13.506,-63.616672,-38.416097
37,Argentina,2007,ARG,39876116.0,718084636672.0,3.998,0.1,174.246,-0.363,-0.208,352.719,-151.32,-30.021,8.845,0.491,0.407,4.37,0.243,0.201,3.66,0.092,156.507,3.925,0.218,142.26,6039.827,16985.0,482.544,162.312,1670.715,11529.985,3581.994,,21736.879,1.207,1.458,0.037,87.178,2.186,8.773,11.162,178.473,4.476,131.03,3.286,47.4,1.189,77.952,1.955,,,866.782,0.354,0.553,0.981,0.029,0.572,0.485,0.885,0.08,1.252,1.053,1.701,0.811,,0.401,1.531,4.022,0.691,,1.269,0.006,0.009,0.016,0.001,445.1,349.82,-17.739,-10.18,-63.616672,-38.416097
38,Argentina,2008,ARG,40273768.0,750663630848.0,3.99,0.099,188.106,13.86,7.954,293.959,-58.76,-16.659,7.299,0.392,0.335,4.671,0.251,0.214,3.877,0.096,173.303,4.303,0.231,146.25,6227.933,17278.959,486.42,163.774,1760.835,11635.838,3670.652,,21801.635,1.17,1.462,0.036,90.12,2.238,8.797,11.165,105.853,2.628,130.45,3.239,46.12,1.145,88.658,2.201,,,878.034,0.349,0.586,0.8,0.029,0.562,0.487,0.883,0.079,1.228,1.071,1.705,0.81,,0.391,1.537,2.28,0.788,,1.265,0.006,0.009,0.016,0.001,449.64,354.27,-14.803,-7.869,-63.616672,-38.416097
39,Argentina,2009,ARG,40684344.0,709525635072.0,3.81,0.094,178.949,-9.157,-4.868,543.371,249.412,84.846,13.356,0.766,0.637,4.398,0.252,0.21,3.232,0.079,158.286,3.891,0.223,150.06,6406.882,17822.33,489.652,165.306,1848.83,12000.259,3753.034,,20979.584,1.203,1.532,0.038,87.995,2.163,8.205,10.552,364.421,8.957,124.34,3.056,40.6,0.998,82.381,2.025,,,853.541,0.324,0.567,1.485,0.025,0.552,0.489,0.894,0.078,1.205,1.086,1.746,0.809,,0.404,1.53,7.24,0.749,,1.263,0.006,0.009,0.017,0.001,429.32,333.82,-20.663,-11.547,-63.616672,-38.416097
40,Argentina,2010,ARG,41100124.0,784986275840.0,4.178,0.102,186.733,7.784,4.35,468.312,-75.059,-13.814,11.394,0.597,0.529,4.543,0.238,0.211,3.99,0.097,172.448,4.196,0.22,154.238,6593.615,18290.641,493.642,166.797,1935.758,12281.838,3843.179,,21530.324,1.127,1.491,0.036,86.928,2.115,8.263,10.58,281.578,6.851,116.14,2.826,41.67,1.014,90.145,2.193,,,884.899,0.333,0.56,1.226,0.029,0.542,0.491,0.901,0.077,1.183,1.097,1.774,0.808,,0.391,1.403,5.82,0.794,,1.258,0.006,0.01,0.017,0.001,434.83,339.61,-14.285,-7.65,-63.616672,-38.416097
41,Argentina,2011,ARG,41520736.0,835970465792.0,4.586,0.11,190.274,3.541,1.896,451.26,-17.051,-3.641,10.868,0.54,0.496,4.583,0.228,0.209,4.723,0.114,190.216,4.581,0.228,158.824,6783.888,18741.9,498.365,168.266,2028.345,12542.824,3930.087,,21901.141,1.088,1.469,0.035,92.587,2.23,8.436,10.021,260.987,6.286,115.37,2.779,42.74,1.029,86.908,2.093,,,909.351,0.34,0.552,1.144,0.032,0.533,0.492,0.905,0.076,1.163,1.11,1.799,0.807,,0.397,1.454,5.257,0.763,,1.251,0.006,0.01,0.017,0.001,416.09,350.25,-0.058,-0.03,-63.616672,-38.416097
